resource,出现次数,平均relevance,平均actionability,代表性证据,note_url
hello-agent课程,1,3.0,4.0,要是agent没有基础的话是不是得从机器学习开始看然后再看深度学习？,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
hello-agent（AI Agent学习项目）,1,4.0,4.0,随便投个学历厂拿段实习吧主播，暑期和日常都行，其实没必要学这么多，agent方向很多东西你能有个概念能答上来就行了，反而是开发的八股会问的细,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
hijiangtao/resume（LaTe简历模板）,1,5.0,4.0,大模型的基础比较薄弱，主要还是体现agent harness的理解，第二个项目纯凑数，重点还是第一个coding agent。想找那种agent多一些，不太涉及llm的实习。,https://www.xiaohongshu.com/explore/69e8c40d000000001f0055a7?xsec_token=ABW5QVp664UiLYr_OTNA6ogRsQ3r7TWTugKKtshfU1P3g=&xsec_source=pc_search
Agent智能体,1,4.0,4.0,给大家整理了一个我实践过的Agent项目集合，每个项目都会包含完整的工作流文档。涵盖了Agent智能客服、知识库问答、coze、智能体等，跟业务流程结合很紧密，项目也经得起推敲，不至于刷完之后在简历上什么都写不出来。,https://www.xiaohongshu.com/explore/69d266e6000000002300484b?xsec_token=ABsc3r3xgmJfQomjiRcPlNj_QvH0D6HFDcwQ8Q_FaNahc=&xsec_source=pc_search
lasywolf/Learn-OpenClaw,1,2.0,2.0,想请问一下，这是算agent开发还是agent算法的项目,https://www.xiaohongshu.com/explore/69eda6f0000000001a0377d6?xsec_token=ABi4nt48DhkLWSx7p21vI5v1jyUOIHxXJYmTBnlzcSOq4=&xsec_source=pc_search
lasywolf/Learn-OpenClaw（Github学习路线参考）,1,3.0,3.0,大家不知道怎么把握进度和课程方向的，主播在这里推荐一个训练营@山羊算法（大模型开发训练营） ，可以系统学少走弯路,https://www.xiaohongshu.com/explore/69eda6f0000000001a0377d6?xsec_token=ABi4nt48DhkLWSx7p21vI5v1jyUOIHxXJYmTBnlzcSOq4=&xsec_source=pc_search
learn-claude-code (GitHub 项目),1,2.0,2.0,这个是你自己从 0 做出来的吗[笑哭R]，多久可以搞懂这个项目啊,https://www.xiaohongshu.com/explore/69b98f42000000001e00dedd?xsec_token=ABpOjDfNa32uGudL3LKs_tpqpVYa-j-eVcOU9qkcbjY9Y=&xsec_source=pc_search
learn-claude-code (GitHub上的渐进式Agent设计教程),1,4.0,4.0,这个能写简历找实习吗[害羞R],https://www.xiaohongshu.com/explore/69b98f42000000001e00dedd?xsec_token=ABpOjDfNa32uGudL3LKs_tpqpVYa-j-eVcOU9qkcbjY9Y=&xsec_source=pc_search
learn-claude-code 项目,1,3.0,4.0,项目就是 P2 的 learn-claude-code，在学习的这两小时里，star 数又涨了 1k，参考 README 上写的，就是一个渐进式 Agent 设计教程,https://www.xiaohongshu.com/explore/69b98f42000000001e00dedd?xsec_token=ABpOjDfNa32uGudL3LKs_tpqpVYa-j-eVcOU9qkcbjY9Y=&xsec_source=pc_search
learn.claude.com/course (Claude Code官方教程),1,3.0,3.0,吃透learn claude code，。自己搭一个应用就够了,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search
vibe coding,1,5.0,5.0,主要是针对于自己agent项目的拷问 – 有没有观测这个agent的系统？– 有没有监测这个agent运行中消耗的token数量，tts，做了什么改进？– 主要在这个项目怎么表现multi agent的？,https://www.xiaohongshu.com/explore/69f1d5d3000000003503b2b9?xsec_token=AB7d7z3KYc0GvBVHop0qtj_dQXUifUWIQ5o88EAPqBeYA=&xsec_source=pc_search
llm,1,2.0,2.0,有ADHD的INTP都去用agent吧，一年半载启动不了的项目一晚上能做八个,https://www.xiaohongshu.com/explore/685cb7f5000000002201c33d?xsec_token=ABtRrA2ixMNwbPoWwIWrnLoC8wIATLKeMwUUtaGNg_FF0=&xsec_source=pc_search
md格式记忆库,1,5.0,4.0,分享帮我拿到字节暑期岗位的agent项目。这绝对不是那种只会回“好的”的无聊AI！它作为我的项目和我一起努力拿到了字节的暑期实习的机会。,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
Agent开发框架（具体待定）,1,4.0,5.0,主播在B站找了好久没找到好学有完整路线的agent项目，求推荐对应项目或者知识星球！,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
minimax 面试题目,1,3.0,3.0,【所属帖子简介】1.Transformer 中 Attention 的本质是什么？从数学角度解释一下。2.了解Agent吗？把RAG做成Agent有什么好处...,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
minimax大模型agent一面面试题（Attention、RAG、SFT、RLHF、PPO/DPO等）,1,4.0,4.0,为啥agent问这么多算法知识[哭惹R],https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
multi agent,1,5.0,5.0,主要是针对于自己agent项目的拷问 – 有没有观测这个agent的系统？– 有没有监测这个agent运行中消耗的token数量，tts，做了什么改进？– 主要在这个项目怎么表现multi agent的？,https://www.xiaohongshu.com/explore/69f1d5d3000000003503b2b9?xsec_token=AB7d7z3KYc0GvBVHop0qtj_dQXUifUWIQ5o88EAPqBeYA=&xsec_source=pc_search
napcat（QQ主动推送方案）,1,5.0,4.0,分享帮我拿到字节暑期岗位的agent项目。这绝对不是那种只会回“好的”的无聊AI！它作为我的项目和我一起努力拿到了字节的暑期实习的机会。,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
openclaw,1,5.0,5.0,自己手搓一个，因为面试必会问cc、openclaw的设计哲学相关的问题，所以先去把这几个项目简单过一遍，然后自己手搓一个。,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
text-embedding-v4,1,5.0,5.0,基于 Java + LangChain4j 构建的企业级智能 Agent系统，围绕 Java 后端面试场景进行定制化设计，通过整合 RAG、分布式记忆与工具调用机制，实现领域增强问答与能力评估能力。,https://www.xiaohongshu.com/explore/69aee1800000000015022708?xsec_token=ABQRVt9TKPGUj9FGshvyarrkFqiaXHhLfxvqK3Kf8W19c=&xsec_source=pc_search
vault（工作流存储工具）,1,2.0,1.0,"我拿""磨刀不误砍柴工""当借口，AI Agent玩儿的不亦乐乎。",https://www.xiaohongshu.com/explore/69ca7415000000002103a9bd?xsec_token=ABaepsnBqiEJOIuZ7ptUVCBUa6JuJKAv_YddTR41Rmdyg=&xsec_source=pc_search
openclaw项目,1,5.0,5.0,自己手搓一个，因为面试必会问cc、openclaw的设计哲学相关的问题，所以先去把这几个项目简单过一遍，然后自己手搓一个。,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
教程《How to Build & Sell AI Agents》,1,3.0,3.0,这是一个专门为销售代表设计的“通话前背调助手”。痛点：销售在给潜客打电话前，往往要花半小时搜官网、看领英，效率极低。,https://www.xiaohongshu.com/explore/69c42e11000000001a029a0f?xsec_token=ABq4IAb8gGqLu6pcjqhhpg8X-E8fJFrrT0WqvQ88bV8KU=&xsec_source=pc_search
小红书自媒体商务合作,1,2.0,2.0,目前已经连续两个月副业超过主业了，自媒体也在不断的创新高。,https://www.xiaohongshu.com/explore/6988c5a3000000002800b0ee?xsec_token=ABVCimK5UvAy-yRs0x95cmsv3Bzzket0txEwnBs0btfqE=&xsec_source=pc_search
软件外包接单渠道,1,2.0,2.0,目前已经连续两个月副业超过主业了，自媒体也在不断的创新高。,https://www.xiaohongshu.com/explore/6988c5a3000000002800b0ee?xsec_token=ABVCimK5UvAy-yRs0x95cmsv3Bzzket0txEwnBs0btfqE=&xsec_source=pc_search
百度众测,1,2.0,3.0,入门途径：通过“程序员客栈”、“码市”等平台接项目，也可以在校内论坛寻找师兄师姐介绍机会。初级程序员时薪可达50-100元。,https://www.xiaohongshu.com/explore/68b027b7000000001d00ea24?xsec_token=AB0FovS-i00ivnJ62umONNwENH-dkeqoorpyBOM5NItwA=&xsec_source=pc_search
知乎,1,2.0,3.0,入门途径：通过“程序员客栈”、“码市”等平台接项目，也可以在校内论坛寻找师兄师姐介绍机会。初级程序员时薪可达50-100元。,https://www.xiaohongshu.com/explore/68b027b7000000001d00ea24?xsec_token=AB0FovS-i00ivnJ62umONNwENH-dkeqoorpyBOM5NItwA=&xsec_source=pc_search
知识库问答项目,1,4.0,4.0,给大家整理了一个我实践过的Agent项目集合，每个项目都会包含完整的工作流文档。涵盖了Agent智能客服、知识库问答、coze、智能体等，跟业务流程结合很紧密，项目也经得起推敲，不至于刷完之后在简历上什么都写不出来。,https://www.xiaohongshu.com/explore/69d266e6000000002300484b?xsec_token=ABsc3r3xgmJfQomjiRcPlNj_QvH0D6HFDcwQ8Q_FaNahc=&xsec_source=pc_search
知识星球agent项目路线,1,4.0,4.0,找一个有真实约束的场景，客服、代码审查、信息检索都行，不追求功能全，追求项目深度，出过问题你修好了。这类项目写进简历才扛得住追问，深度也完全不一样。,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
知识星球推荐需求（待填充）,1,4.0,5.0,主播在B站找了好久没找到好学有完整路线的agent项目，求推荐对应项目或者知识星球！,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
知识星球（用户寻求推荐）,1,5.0,5.0,自己手搓一个，因为面试必会问cc、openclaw的设计哲学相关的问题，所以先去把这几个项目简单过一遍，然后自己手搓一个。,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
Agent Harness,1,5.0,4.0,大模型的基础比较薄弱，主要还是体现agent harness的理解，第二个项目纯凑数，重点还是第一个coding agent,https://www.xiaohongshu.com/explore/69e8c40d000000001f0055a7?xsec_token=ABW5QVp664UiLYr_OTNA6ogRsQ3r7TWTugKKtshfU1P3g=&xsec_source=pc_search
码市 - 面向中国市场的程序员接单平台，适合Web开发、移动应用、微信小程序开发者,1,3.0,3.0,用python技能去变现，实现经济自由 以下是几个不错的兼职平台,https://www.xiaohongshu.com/explore/666aadb3000000001d01bccc?xsec_token=AB_HXhIr-hnaL9s71RjW54mDhr8DviqH4hPkO5mRLH7io=&xsec_source=pc_search
AI编程工具,1,4.0,4.0,跟我们开发经验差不多……我们现在招人标准也是看顶层架构的设计能力，是否擅长管理多个agent并行处理任务,https://www.xiaohongshu.com/explore/69d9e6480000000022028e44?xsec_token=ABsVYQoAnfyZoMOYk3CJRaX0Iwro9Di09YVGWO1q3lvQ8=&xsec_source=pc_search
简历项目包装指导,1,5.0,5.0,想问问有没有什么比较好上手，好直接进行学习的并且学习时间也不会很长的Agent项目，我可以花钱买🥹,https://www.xiaohongshu.com/explore/6a032f37000000003501c680?xsec_token=ABsl6oE4q8UWcm3Yf2FbTD2HSoksv7A1wdxx-NE5WDbAg=&xsec_source=pc_search
腾讯云服务器（68元/月）,1,2.0,2.0,结果没想到还真是零门槛，培训给了代码，只要会jupyter和Python就能跑，纯小白秒变「量化大师」,https://www.xiaohongshu.com/explore/67d30cdf000000001201ec5b?xsec_token=ABs88PIC_ZuL0pfoST-puyvD3cCA_1G4j8U9CD9MjPVvQ=&xsec_source=pc_search
配置文件（config.toml）,1,5.0,4.0,分享帮我拿到字节暑期岗位的agent项目。这绝对不是那种只会回“好的”的无聊AI！它作为我的项目和我一起努力拿到了字节的暑期实习的机会。,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
山羊算法（大模型开发训练营）,1,3.0,3.0,大家不知道怎么把握进度和课程方向的，主播在这里推荐一个训练营@山羊算法（大模型开发训练营） ，可以系统学少走弯路,https://www.xiaohongshu.com/explore/69eda6f0000000001a0377d6?xsec_token=ABi4nt48DhkLWSx7p21vI5v1jyUOIHxXJYmTBnlzcSOq4=&xsec_source=pc_search
长短期记忆系统,1,4.0,4.0,大家都在问我写的agent，链接在图片上，可以fork来玩玩。因为是个人开发，还有很多bug，拿来学习agent开发入门应该没问题的,https://www.xiaohongshu.com/explore/69f1d5d3000000003503b2b9?xsec_token=AB7d7z3KYc0GvBVHop0qtj_dQXUifUWIQ5o88EAPqBeYA=&xsec_source=pc_search
闲鱼 - 自发布商品定价，偏小单，购买人多、评价好则单量增加，客户多为学生,1,3.0,3.0,用python技能去变现，实现经济自由 以下是几个不错的兼职平台,https://www.xiaohongshu.com/explore/666aadb3000000001d01bccc?xsec_token=AB_HXhIr-hnaL9s71RjW54mDhr8DviqH4hPkO5mRLH7io=&xsec_source=pc_search
闲鱼平台接单,1,3.0,3.0,我是研一刚入学在宿舍听师兄讲我们专业想找到满意的工作非常困难。于是我自己下定决心想着转行，加上自己之前的python基础于是自学r语言，自学生物信息学相关的知识，再到做一些项目，逐渐丰富自己的能力。,https://www.xiaohongshu.com/explore/66b193b7000000001e01f00f?xsec_token=ABEr5_qR4HUJXti3RU5pgNz0aetgzAeP_pfgpy0EH2IS4=&xsec_source=pc_search
阿里众包,1,2.0,3.0,入门途径：通过“程序员客栈”、“码市”等平台接项目，也可以在校内论坛寻找师兄师姐介绍机会。初级程序员时薪可达50-100元。,https://www.xiaohongshu.com/explore/68b027b7000000001d00ea24?xsec_token=AB0FovS-i00ivnJ62umONNwENH-dkeqoorpyBOM5NItwA=&xsec_source=pc_search
阿里最新开发框架,1,5.0,5.0,主要是针对于自己agent项目的拷问 – 有没有观测这个agent的系统？– 有没有监测这个agent运行中消耗的token数量，tts，做了什么改进？– 主要在这个项目怎么表现multi agent的？,https://www.xiaohongshu.com/explore/69f1d5d3000000003503b2b9?xsec_token=AB7d7z3KYc0GvBVHop0qtj_dQXUifUWIQ5o88EAPqBeYA=&xsec_source=pc_search
面经,1,3.0,3.0,可以看看面经，AI产品offer很多，这些问题感觉问的还是少，基本上还是以简历深挖为主，另外ai深度比较难,https://www.xiaohongshu.com/explore/69da0a5e0000000022003563?xsec_token=ABVias0c714Aub7-Sl8XNBRkAUu96h4mqFYBBKYL7gDGw=&xsec_source=pc_search
项目类型App开发接单渠道,1,3.0,3.0,app做了好多个，都是项目类型app，一个好几万。,https://www.xiaohongshu.com/explore/68f5fbd8000000000301b430?xsec_token=ABYZ_9FrX4unhpZe27_19YnpsK5kH7Vl818FBkAOJzoSE=&xsec_source=pc_search
预告中的源码+文档项目,1,2.0,2.0,可以看下nanobot，cc其实也可以看。感觉就差不多了。或者等我过几天发个项目源码➕文档,https://www.xiaohongshu.com/explore/6a032f37000000003501c680?xsec_token=ABsl6oE4q8UWcm3Yf2FbTD2HSoksv7A1wdxx-NE5WDbAg=&xsec_source=pc_search
高情商回复agent最小原型源码,1,4.0,4.0,大家都在问我写的agent，链接在图片上，可以fork来玩玩。因为是个人开发，还有很多bug，拿来学习agent开发入门应该没问题的,https://www.xiaohongshu.com/explore/69f1d5d3000000003503b2b9?xsec_token=AB7d7z3KYc0GvBVHop0qtj_dQXUifUWIQ5o88EAPqBeYA=&xsec_source=pc_search
鹅厂,1,4.0,4.0,基于您的面试经验 我想请教下我个人偏技术相关 熟悉很多ai知识和开发要领 您觉得会在这个岗位占优势吗？,https://www.xiaohongshu.com/explore/69da0a5e0000000022003563?xsec_token=ABVias0c714Aub7-Sl8XNBRkAUu96h4mqFYBBKYL7gDGw=&xsec_source=pc_search
黑马程序员深度学习,1,5.0,5.0,uu怎么学习agent的呀，是先看hello-agent，然后再找个可以写道简历上的agent项目做吗[哭惹R]aagent相关的八股在哪里看呀,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
生物信息学相关技能,1,3.0,3.0,我是研一刚入学在宿舍听师兄讲我们专业想找到满意的工作非常困难。于是我自己下定决心想着转行，加上自己之前的python基础于是自学r语言，自学生物信息学相关的知识，再到做一些项目，逐渐丰富自己的能力。,https://www.xiaohongshu.com/explore/66b193b7000000001e01f00f?xsec_token=ABEr5_qR4HUJXti3RU5pgNz0aetgzAeP_pfgpy0EH2IS4=&xsec_source=pc_search
生物信息学工具,1,3.0,3.0,我是研一刚入学在宿舍听师兄讲我们专业想找到满意的工作非常困难。于是我自己下定决心想着转行，加上自己之前的python基础于是自学r语言，自学生物信息学相关的知识，再到做一些项目，逐渐丰富自己的能力。,https://www.xiaohongshu.com/explore/66b193b7000000001e01f00f?xsec_token=ABEr5_qR4HUJXti3RU5pgNz0aetgzAeP_pfgpy0EH2IS4=&xsec_source=pc_search
猿急送 - 网页版接单平台，项目多，需完善简历，入驻后平台会主动联系优秀开发者,1,3.0,3.0,用python技能去变现，实现经济自由 以下是几个不错的兼职平台,https://www.xiaohongshu.com/explore/666aadb3000000001d01bccc?xsec_token=AB_HXhIr-hnaL9s71RjW54mDhr8DviqH4hPkO5mRLH7io=&xsec_source=pc_search
猿急送,1,3.0,3.0,用python技能去变现，实现经济自由 以下是几个不错的兼职平台,https://www.xiaohongshu.com/explore/666aadb3000000001d01bccc?xsec_token=AB_HXhIr-hnaL9s71RjW54mDhr8DviqH4hPkO5mRLH7io=&xsec_source=pc_search
开源多 Agent 协作框架,1,3.0,3.0,有几个 examples 需要人来提交代码，你想参与吗？,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search
录课程/教编程,1,2.0,2.0,算法的轻轻松松100万起步,https://www.xiaohongshu.com/explore/666989bd000000001c034d3e?xsec_token=AB47DEGb_pggq5f9K9rmmvL4-xHKCDLEPHAOQqPzVH7MQ=&xsec_source=pc_search
录课程教编程,1,2.0,2.0,常见程序员副业有这些：1.自媒体，技术博客等 2.独立开发，外包开发 3.录课程，教编程...,https://www.xiaohongshu.com/explore/666989bd000000001c034d3e?xsec_token=AB47DEGb_pggq5f9K9rmmvL4-xHKCDLEPHAOQqPzVH7MQ=&xsec_source=pc_search
微信公众号,1,2.0,3.0,入门途径：通过“程序员客栈”、“码市”等平台接项目，也可以在校内论坛寻找师兄师姐介绍机会。初级程序员时薪可达50-100元。,https://www.xiaohongshu.com/explore/68b027b7000000001d00ea24?xsec_token=AB0FovS-i00ivnJ62umONNwENH-dkeqoorpyBOM5NItwA=&xsec_source=pc_search
掌门一对一,1,2.0,3.0,入门途径：通过“程序员客栈”、“码市”等平台接项目，也可以在校内论坛寻找师兄师姐介绍机会。初级程序员时薪可达50-100元。,https://www.xiaohongshu.com/explore/68b027b7000000001d00ea24?xsec_token=AB0FovS-i00ivnJ62umONNwENH-dkeqoorpyBOM5NItwA=&xsec_source=pc_search
github.com/rohitg00/ai-engineering-from-scratch,1,3.0,3.0,AI Engineering From Scratch - 从零开始系统学习AI工程，掌握大模型、智能体、深度学习等核心技术,https://www.xiaohongshu.com/explore/6a1251d3000000003503189f?xsec_token=AB_zM6IVwwFHCKew5ks-xECPJJLmIvkeyf1sCogsdKTi4=&xsec_source=pc_search
新加坡实习机会,1,4.0,4.0,主包投递过程中是只投暑期实习还是也有投暑假的日常实习呀坡这边的公司有投吗，以及是不是只能实习到七月底就要回坡上课,https://www.xiaohongshu.com/explore/69f43c20000000003502f629?xsec_token=ABzOLlZiL8BB-3w_DK2vrAG4VzOzdhVOfXdPxpHZV_3kc=&xsec_source=pc_search
杰夫老师AI Agent视频,1,3.0,3.0,最近在学习agent的相关原理以及搭建各种agent，免费申请了Mimo的Max计划，正在狠狠使用，后面还是计划多参加一些活动类似黑客松，菜也没关系，以赛代练进步最快。,https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
某鱼平台,1,3.0,3.0,作为副业老油条的我，某鱼早已不是我的主要副业渠道，几乎不再投入时间和精力，但每天仍有大量客户主动联系我。,https://www.xiaohongshu.com/explore/65afc71b000000000c0072a0?xsec_token=ABpj5s6qCKIOCDgt14xobeYPi2ZaeB_0d45peQoCgw5DM=&xsec_source=pc_search
某鱼平台接私活渠道,1,3.0,3.0,副业成本极低。但是开发要时间，我也接到好几个项目，但是自己不会前端就放弃了,https://www.xiaohongshu.com/explore/65afc71b000000000c0072a0?xsec_token=ABpj5s6qCKIOCDgt14xobeYPi2ZaeB_0d45peQoCgw5DM=&xsec_source=pc_search
油管Liam Ottley频道,1,3.0,3.0,最近在学习agent的相关原理以及搭建各种agent，免费申请了Mimo的Max计划，正在狠狠使用，后面还是计划多参加一些活动类似黑客松，菜也没关系，以赛代练进步最快。,https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
油管Mahesh Yadav频道,1,3.0,3.0,最近在学习agent的相关原理以及搭建各种agent，免费申请了Mimo的Max计划，正在狠狠使用，后面还是计划多参加一些活动类似黑客松，菜也没关系，以赛代练进步最快。,https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
油管创作者Liam Ottley的讲解,1,2.0,1.0,当agent知道了自己是agent，且知道人类存在的时候，并且能自我迭代，自我驱动，去学习。目标是活着。人的目标也是活着。只是活着的环境不同。那这个时候agent是数字生命的存在了吗？,https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
油管创作者Mahesh Yadav的讲解,1,2.0,1.0,当agent知道了自己是agent，且知道人类存在的时候，并且能自我迭代，自我驱动，去学习。目标是活着。人的目标也是活着。只是活着的环境不同。那这个时候agent是数字生命的存在了吗？,https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
海风教育,1,2.0,3.0,入门途径：通过“程序员客栈”、“码市”等平台接项目，也可以在校内论坛寻找师兄师姐介绍机会。初级程序员时薪可达50-100元。,https://www.xiaohongshu.com/explore/68b027b7000000001d00ea24?xsec_token=AB0FovS-i00ivnJ62umONNwENH-dkeqoorpyBOM5NItwA=&xsec_source=pc_search
淘宝服务市场,1,2.0,3.0,入门途径：通过“程序员客栈”、“码市”等平台接项目，也可以在校内论坛寻找师兄师姐介绍机会。初级程序员时薪可达50-100元。,https://www.xiaohongshu.com/explore/68b027b7000000001d00ea24?xsec_token=AB0FovS-i00ivnJ62umONNwENH-dkeqoorpyBOM5NItwA=&xsec_source=pc_search
清华开源AI项目,1,5.0,5.0,最近在学agent相关的知识，想要一个能写进简历的项目,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search
Agent Team协作平台,1,2.0,1.0,试试我在做的 Agent Team 协作平台，绝对好玩！,https://www.xiaohongshu.com/explore/6a032f37000000003501c680?xsec_token=ABsl6oE4q8UWcm3Yf2FbTD2HSoksv7A1wdxx-NE5WDbAg=&xsec_source=pc_search
爬虫/信息整合,1,2.0,2.0,算法的轻轻松松100万起步,https://www.xiaohongshu.com/explore/666989bd000000001c034d3e?xsec_token=AB47DEGb_pggq5f9K9rmmvL4-xHKCDLEPHAOQqPzVH7MQ=&xsec_source=pc_search
爬虫信息整合,1,2.0,2.0,常见程序员副业有这些：1.自媒体，技术博客等 2.独立开发，外包开发 3.录课程，教编程...,https://www.xiaohongshu.com/explore/666989bd000000001c034d3e?xsec_token=AB47DEGb_pggq5f9K9rmmvL4-xHKCDLEPHAOQqPzVH7MQ=&xsec_source=pc_search
猪八戒,1,3.0,3.0,用python技能去变现，实现经济自由 以下是几个不错的兼职平台,https://www.xiaohongshu.com/explore/666aadb3000000001d01bccc?xsec_token=AB_HXhIr-hnaL9s71RjW54mDhr8DviqH4hPkO5mRLH7io=&xsec_source=pc_search
猪八戒 - 国内老牌服务外包平台，涵盖开发、设计、营销等多领域，适合寻找多元化项目,1,3.0,3.0,用python技能去变现，实现经济自由 以下是几个不错的兼职平台,https://www.xiaohongshu.com/explore/666aadb3000000001d01bccc?xsec_token=AB_HXhIr-hnaL9s71RjW54mDhr8DviqH4hPkO5mRLH7io=&xsec_source=pc_search
猪八戒网,1,2.0,3.0,入门途径：通过“程序员客栈”、“码市”等平台接项目，也可以在校内论坛寻找师兄师姐介绍机会。初级程序员时薪可达50-100元。,https://www.xiaohongshu.com/explore/68b027b7000000001d00ea24?xsec_token=AB0FovS-i00ivnJ62umONNwENH-dkeqoorpyBOM5NItwA=&xsec_source=pc_search
Agent智能客服项目,1,4.0,4.0,给大家整理了一个我实践过的Agent项目集合，每个项目都会包含完整的工作流文档。涵盖了Agent智能客服、知识库问答、coze、智能体等，跟业务流程结合很紧密，项目也经得起推敲，不至于刷完之后在简历上什么都写不出来。,https://www.xiaohongshu.com/explore/69d266e6000000002300484b?xsec_token=ABsc3r3xgmJfQomjiRcPlNj_QvH0D6HFDcwQ8Q_FaNahc=&xsec_source=pc_search
claw0项目仓库,1,4.0,4.0,想问下学长，找agent实习的话有可以快速入门的项目推荐吗,https://www.xiaohongshu.com/explore/69be69140000000021010e56?xsec_token=ABdkUKCMd_18FuXS2udFKlRTQFlcI-_9pmG9RM7vtkZas=&xsec_source=pc_search
github.com/decolua/9router,1,3.0,3.0,AI Engineering From Scratch - 从零开始系统学习AI工程，掌握大模型、智能体、深度学习等核心技术,https://www.xiaohongshu.com/explore/6a1251d3000000003503189f?xsec_token=AB_zM6IVwwFHCKew5ks-xECPJJLmIvkeyf1sCogsdKTi4=&xsec_source=pc_search
LeetCode刷题平台,1,4.0,4.0,随便投个学历厂拿段实习吧主播，暑期和日常都行，其实没必要学这么多，agent方向很多东西你能有个概念能答上来就行了，反而是开发的八股会问的细,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
Hello-agents (12.6K stars) - Datawhale社区AI原生智能体学习教程,1,2.0,1.0,GenAI_Agents 18.8K🌟 地表最强Agent学习、开发综合资源库。收录了非常多的Agent实现，从入门到精通一站式搞定。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
